year,location,bloom_doy
2004,liestal,92.0
2004,washingtondc,91.0
2004,kyoto,92.0
2005,liestal,95.0
2005,kyoto,99.0
2005,washingtondc,99.0
2006,liestal,111.0
2006,washingtondc,89.0
2006,kyoto,98.0
2007,kyoto,97.0
2007,washingtondc,91.0
2007,liestal,94.0
2008,kyoto,95.0
2008,washingtondc,86.0
2008,liestal,89.0
2009,washingtondc,91.0
2009,liestal,100.0
2009,kyoto,95.0
2010,kyoto,95.0
2010,liestal,98.0
2010,washingtondc,90.0
2011,kyoto,99.0
2011,washingtondc,88.0
2011,liestal,90.0
2012,kyoto,101.0
2012,washingtondc,80.0
2012,liestal,93.0
2013,liestal,107.0
2013,washingtondc,99.0
2013,kyoto,93.0
2014,liestal,84.0
2014,kyoto,94.0
2014,washingtondc,100.0
2015,kyoto,93.0
2015,washingtondc,100.0
2015,liestal,101.0
2016,liestal,97.0
2016,kyoto,95.0
2016,washingtondc,85.0
2017,liestal,85.0
2017,kyoto,99.0
2017,washingtondc,84.0
2018,kyoto,89.0
2018,washingtondc,95.0
2018,liestal,98.0
2019,kyoto,95.0
2019,washingtondc,91.0
2019,liestal,86.0
2020,washingtondc,80.0
2020,kyoto,92.0
2020,liestal,77.0
2021,washingtondc,87.0
2021,kyoto,85.0
2021,liestal,87.0
2022,washingtondc,80.0
2022,kyoto,91.0
2022,liestal,85.0
